Time,Light,Avg
0,559,0
50,714,83
101,762,165
152,760,244
203,729,318
254,680,385
305,635,448
356,645,516
407,715,585
458,751,658
509,778,735
559,802,732
610,823,733
661,838,739
712,849,752
763,856,771
814,860,795
865,858,813
916,842,827
967,823,838
1018,809,844
1069,795,844
1120,775,839
1171,749,830
1222,712,814
1273,666,793
1324,618,766
1374,592,739
1425,608,718
1476,653,704
1527,704,698
1578,751,697
1629,788,702
1680,822,715
1731,852,732
1782,869,756
1833,875,785
1884,878,816
1935,878,842
1986,877,861
2037,875,874
2088,872,882
2139,862,885
2190,845,883
2241,813,877
2292,768,865
2343,703,845
2394,644,819
2445,638,795
2496,688,781
2547,756,771
2598,799,765
2649,824,762
2700,842,763
2751,855,767
2802,863,778
2852,869,797
2903,873,823
2954,874,846
3005,872,860
3056,868,868
3107,859,872
3158,842,870
3209,802,858
3260,733,841
3311,684,820
3362,640,795
3413,600,764
3464,576,733
3515,585,705
3566,618,682
3617,658,666
3668,697,657
3719,732,661
3770,760,670
3821,783,685
3872,805,706
3923,819,732
3974,828,761
4025,831,787
4076,827,807
4127,821,821
4178,810,830
4229,794,834
4280,771,832
4331,741,824
4381,701,810
4432,651,789
4483,604,762
4534,592,736
4585,625,717
4636,675,705
4687,726,700
4738,770,702
4789,808,710
4840,842,724
4891,864,743
4942,872,769
4993,876,799
5044,877,829
5095,877,852
5146,876,868
5197,873,879
5248,869,884
5299,857,885
5350,838,881
5401,802,874
5452,749,859
5503,678,836
5554,636,810
5605,654,790
5656,718,775
5707,770,766
5758,805,761
5809,828,759
5860,845,760
5910,856,766
5961,864,780
6012,869,802
6063,872,828
6114,873,847
6165,870,861
6216,864,868
6267,852,871
6318,830,866
6369,760,852
6420,709,834
6471,667,812
6522,624,784
6573,588,753
6624,574,722
6675,594,696
6726,631,676
6777,671,662
6828,709,658
6879,741,663
6930,768,674
6981,791,691
7032,808,714
7083,821,742
7134,829,770
7185,831,794
7236,824,811
7287,815,824
7338,802,830
7389,783,832
7440,758,828
7490,724,818
7541,681,801
7592,629,777
7643,595,750
7694,600,726
7745,641,710
7796,693,701
7847,741,698
7898,782,702
7949,818,713
8000,849,729
8051,868,750
8102,874,778
8153,877,809
8204,877,837
8255,877,858
8306,875,872
8357,872,881
8408,864,885
8459,854,884
8510,830,879
8561,789,869
8612,730,853
8663,662,828
8714,640,803
8765,677,785
8816,743,772
8867,786,764
8918,814,760
8968,835,759
9019,850,763
9070,860,770
9121,866,786
9172,870,810
9223,872,834
9274,872,851
9325,868,863
9376,861,870
9427,848,870
9478,819,861
9529,745,846
9580,696,827
9631,652,802
9682,609,773
9733,579,741
9784,577,711
9835,606,687
9886,644,669
9937,684,658
9988,719,657
10039,749,665
10090,774,677
10141,809,696
10192,836,721
10243,849,751
10294,855,778
10345,852,800
10396,842,813
10447,811,820
10498,775,822
10549,747,818
10600,716,809
10651,679,794
10702,636,771
10753,592,742
10804,572,713
10855,586,689
10906,621,673
10957,658,663
11008,693,658
11059,732,659
11110,789,668
11161,825,686
11212,847,710
11263,859,740
11314,865,771
11365,866,799
11416,862,820
11467,855,836
11518,840,845
11569,812,844
11620,743,835
11671,693,818
11722,649,795
11773,607,767
11824,575,736
11875,572,706
11926,595,681
11977,631,662
12028,700,649
12079,769,653
12130,813,666
12181,839,684
12232,855,708
12283,864,737
12334,870,769
12385,871,800
12436,871,826
12487,868,848
12538,861,864
12589,851,870
12640,835,868
12691,808,857
12742,761,835
12793,691,808
12844,610,776
12895,581,744
12946,627,714
12997,699,692
13048,759,683
13100,801,681
13151,829,684
13202,848,695
13253,860,718
13304,867,746
13355,872,778
13406,874,810
13457,875,840
13508,874,863
13559,871,874
13610,866,879
13661,859,879
13712,848,877
13763,826,871
13814,778,861
13865,705,841
13916,643,814
13967,633,790
14018,679,775
14069,737,767
14120,792,764
14171,828,764
14222,850,767
14273,862,773
14324,870,784
14375,874,804
14426,876,830
14477,877,855
14528,877,871
14579,876,879
14630,873,883
14681,864,884
14732,846,883
14783,815,878
14834,770,866
14885,712,847
14936,646,820
14987,611,791
15038,629,768
15089,679,752
15140,730,742
15191,775,738
15242,810,738
15293,841,743
15344,860,755
15395,872,774
15446,875,801
15497,878,830
15548,878,853
15599,873,869
15650,870,879
15701,853,884
15752,829,882
15803,799,874
15854,762,862
15905,715,843
15956,657,818
16007,608,788
16058,599,759
16109,630,736
16160,677,720
16211,723,710
16262,761,706
16313,792,710
16364,816,719
16415,835,736
16466,851,762
16517,859,792
16568,860,821
16619,856,843
16670,847,857
16721,833,865
16772,814,866
16823,789,862
16874,758,852
16925,719,836
16977,669,812
17028,619,783
17079,589,752
17130,598,726
17181,635,706
17232,680,694
17283,720,688
17334,753,688
17385,779,693
17436,800,706
17487,816,726
17538,827,752
17589,836,780
17640,835,804
17691,827,822
17742,816,832
17793,800,837
17844,780,836
17895,753,830
17946,720,818
17997,679,800
18048,632,776
18099,590,747
18150,581,720
18201,604,698
18252,643,683
18303,683,674
18354,718,671
18405,747,674
18456,772,682
18507,803,697
18558,832,720
18609,847,748
18660,854,776
18711,853,798
18762,845,813
18813,821,820
18864,783,822
18915,751,819
18966,721,811
19017,686,797
19068,644,776
19119,601,748
19170,576,719
19221,583,693
19272,612,675
19323,650,663
19374,685,658
19425,727,657
19476,785,665
19527,823,682
19578,845,705
19629,858,735
19680,864,766
19731,866,794
19782,864,817
19833,858,835
19884,847,846
19935,826,851
19986,786,843
20037,714,827